pr_number,user,comment,positive,neutral,negative
9490,wardpeet,@coderabbitai  can you make the changes?,0.3037030100822449,0.29032477736473083,0.40597227215766907
9490,wardpeet,"https://github.com/coderabbitai 

your commments you made
```
 beforeEach(() => {
   vi.mocked(rollup).mockClear();
+  vi.spyOn(process, 'cwd').mockReturnValue(join(import.meta.dirname, '__fixtures__', 'default'));
+  vi.mocked(resolveFrom).mockReset();
 });
 ```
 
 and 
 ```
 -    // Verify that the analyzer doesn't get stuck in infinite loops
-    // (test will timeout if there's an infinite loop issue)
+    // Verify that the analyzer doesn't get stuck in infinite loops.
+    // The initialDepsToOptimize map tracks already-analyzed dependencies to prevent re-analysis.
+    // (Test will timeout if there's an infinite loop issue)
```",0.17591539025306702,0.24110543727874756,0.5829792022705078
9425,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
9261,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
8985,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
8942,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
8832,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
8815,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
8751,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
8384,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
8375,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
8299,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
7709,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
7438,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
7337,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
6287,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
9447,daneatmastra,"### Edited/Blocked Notification

Renovate will not automatically rebase this PR, because it does not recognize the last commit author and assumes somebody else may have edited the PR.

You can manually request rebase by checking the rebase/retry box above.

 ⚠️ **Warning**: custom changes will be lost.",0.08981585502624512,0.23765183985233307,0.6725322604179382
9039,daneatmastra,"### Autoclosing Skipped

This PR has been flagged for autoclosing. However, it is being skipped due to the branch being already modified. Please close/delete it manually or report a bug if you think this is in error.",0.15989436209201813,0.2574007511138916,0.5827049016952515
